year,p50_kwh,p75_kwh,p90_kwh,ci_width_kwh,specific_yield_p50,cuf_pct_p50
2027,7399.9,6856.0,6434.4,1852.4,1245.8,14.22
2028,7386.5,6894.6,6438.8,1855.1,1243.5,14.2
2029,7326.4,6785.7,6309.4,1940.6,1233.4,14.08
2030,7257.9,6808.2,6410.9,1792.0,1221.9,13.95
2031,7252.0,6715.4,6225.1,1918.0,1220.9,13.94
2032,7193.0,6748.0,6297.7,1836.6,1210.9,13.82
2033,7192.1,6682.5,6251.8,1890.3,1210.8,13.82
2034,7126.1,6683.9,6266.9,1786.2,1199.7,13.69
2035,7129.8,6611.9,6223.5,1842.8,1200.3,13.7
2036,7110.0,6574.3,6120.2,1953.7,1197.0,13.66
