year,p50_kwh,p75_kwh,p90_kwh,ci_width_kwh,specific_yield_p50,cuf_pct_p50
2027,5683.4,4940.2,4299.1,2679.0,956.8,10.92
2028,5678.5,4999.0,4333.6,2698.2,956.0,10.91
2029,5638.2,4866.7,4180.8,2768.4,949.2,10.84
2030,5586.1,4937.7,4343.9,2596.8,940.4,10.74
2031,5584.5,4766.3,4091.6,2772.2,940.2,10.73
2032,5543.6,4879.1,4259.7,2655.2,933.3,10.65
2033,5544.3,4834.0,4169.9,2770.7,933.4,10.66
2034,5486.9,4846.7,4213.4,2613.0,923.7,10.54
2035,5490.9,4744.4,4185.1,2674.7,924.4,10.55
2036,5507.8,4717.9,4056.3,2811.5,927.2,10.58
