year,p50_kwh,p75_kwh,p90_kwh,ci_width_kwh,specific_yield_p50,cuf_pct_p50
2027,6703.8,6029.6,5498.1,2293.5,1128.6,12.88
2028,6697.8,6081.9,5526.7,2290.0,1127.6,12.87
2029,6632.2,5959.1,5378.3,2403.3,1116.5,12.75
2030,6565.2,6001.9,5508.5,2237.8,1105.2,12.62
2031,6569.2,5897.8,5298.9,2367.7,1105.9,12.62
2032,6506.9,5958.6,5402.6,2273.0,1095.4,12.5
2033,6524.3,5886.2,5360.8,2328.0,1098.4,12.54
2034,6455.0,5900.4,5381.1,2218.2,1086.7,12.41
2035,6470.0,5819.5,5358.0,2269.5,1089.2,12.43
2036,6447.4,5793.8,5220.6,2416.3,1085.4,12.39
